date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere
12.01.2006;32;39;9;8;-;9;-;3
05.01.2006;31;39;9;9;-;9;-;3
21.12.2005;32;36;9;9;-;10;-;4
15.12.2005;33;35;9;10;-;9;-;4
08.12.2005;34;36;9;10;-;8;-;3
01.12.2005;34;36;9;10;-;8;-;3
24.11.2005;34;35;9;10;-;9;-;3
17.11.2005;34;34;9;11;-;9;-;3
10.11.2005;33;36;8;10;-;10;-;3
03.11.2005;32;37;9;10;-;9;-;3
27.10.2005;34;36;9;9;-;9;-;3
20.10.2005;34;37;8;9;-;9;-;3
13.10.2005;34;37;8;9;-;8;-;4
06.10.2005;34;36;8;10;-;8;-;4
29.09.2005;34;36;8;9;-;9;-;4
22.09.2005;34;35;8;10;-;9;-;4
08.09.2005;34;41;7;6,5;-;8,5;-;3
01.09.2005;32;43;7;6;-;9;-;3
25.08.2005;31;42;8;7;-;9;-;3
17.08.2005;30;42;8;7;-;9;-;4
11.08.2005;29;42;9;6;-;10;-;4
04.08.2005;29;42;8;6;-;11;-;4
28.07.2005;28;42;8;7;-;12;-;3
21.07.2005;27;42;9;7;-;12;-;3
15.07.2005;27;42;9;8;-;11;-;3
08.07.2005;27;43;8;7;-;11;-;4
01.07.2005;27;44;8;7;-;10;-;4
24.06.2005;27;45;9;7;-;9;-;3
17.06.2005;28;46;8;7;-;8;-;3
10.06.2005;29;47;9;7;-;5;-;3
03.06.2005;28;48;9;7;-;4;-;4
27.05.2005;29;47;8;6;-;5;-;5
23.05.2005;30;46;7;7;-;5;-;5
22.05.2005;29;46;8;8;-;4;-;5
20.05.2005;29;45;10;7;-;4;-;5
13.05.2005;29;44;10;8;-;4;-;5
04.05.2005;29;45;10;7;-;4;-;5
29.04.2005;29;45;10;6;-;5;-;5
22.04.2005;30;44;10;6;-;5;-;5
15.04.2005;29;44;9;7;-;5;-;6
08.04.2005;29;45;9;7;-;5;-;5
01.04.2005;29;45;9;7;-;5;-;5
24.03.2005;30;44;9;7;-;5;-;5
18.03.2005;30;43;9;7;-;5;-;6
11.03.2005;30;44;10;6;-;5;-;5
04.03.2005;31;43;10;6;-;5;-;5
25.02.2005;31;42;11;6;-;5;-;5
18.02.2005;32;40;11;7;-;5;-;5
11.02.2005;31;40;11;7;-;5;-;6
04.02.2005;32;39;11;7;-;5;-;6
28.01.2005;33;38;12;7;-;5;-;5
21.01.2005;33;38;12;8;-;4;-;5
14.01.2005;33;37;12;8;-;5;-;5
07.01.2005;33;38;12;8;-;5;-;4
22.12.2004;34;38;12;7;-;5;-;4
17.12.2004;32;40;11;7;-;5;-;5
10.12.2004;32;40;11;8;-;5;-;4
03.12.2004;33;40;11;7;-;4;-;5
26.11.2004;32;39;11;8;-;5;-;5
